epoch,loss,acc,val_loss,val_acc,network
24,0.0447,0.9874,0.0360,0.9916,pool_dropout
25,0.0434,0.9879,0.0303,0.9936,pool_dropout
26,0.0347,0.9903,0.0299,0.9930,pool_dropout
27,0.0370,0.9886,0.0316,0.9925,pool_dropout
28,0.0379,0.9889,0.0324,0.9918,pool_dropout
29,0.0348,0.9899,0.0447,0.9902,pool_dropout
30,0.0328,0.9901,0.0382,0.9915,pool_dropout
31,0.0347,0.9904,0.0335,0.9926,pool_dropout
32,0.0426,0.9885,0.0305,0.9938,pool_dropout
33,0.0286,0.9921,0.0412,0.9918,pool_dropout
34,0.0264,0.9917,0.0318,0.9922,pool_dropout
35,0.0320,0.9910,0.0307,0.9921,pool_dropout
36,0.0310,0.9917,0.0348,0.9907,pool_dropout
37,0.0259,0.9929,0.0404,0.9913,pool_dropout
38,0.0321,0.9903,0.0468,0.9890,pool_dropout
39,0.0309,0.9916,0.0336,0.9931,pool_dropout
40,0.0314,0.9909,0.0355,0.9916,pool_dropout
41,0.0305,0.9913,0.0283,0.9931,pool_dropout
42,0.0250,0.9926,0.0316,0.9927,pool_dropout
43,0.0346,0.9906,0.0283,0.9938,pool_dropout
44,0.0277,0.9924,0.0300,0.9935,pool_dropout
45,0.0240,0.9929,0.0300,0.9939,pool_dropout
46,0.0276,0.9926,0.0399,0.9925,pool_dropout
47,0.0262,0.9928,0.0344,0.9925,pool_dropout
48,0.0245,0.9931,0.0381,0.9927,pool_dropout
49,0.0318,0.9920,0.0419,0.9916,pool_dropout
50,0.0287,0.9919,0.0367,0.9931,pool_dropout
51,0.0200,0.9936,0.0287,0.9940,pool_dropout
52,0.0183,0.9948,0.0305,0.9938,pool_dropout
53,0.0239,0.9936,0.0370,0.9913,pool_dropout
54,0.0316,0.9923,0.0477,0.9903,pool_dropout
55,0.0220,0.9931,0.0314,0.9939,pool_dropout
56,0.0237,0.9944,0.0309,0.9936,pool_dropout
57,0.0202,0.9943,0.0367,0.9925,pool_dropout
58,0.0192,0.9944,0.0387,0.9929,pool_dropout
59,0.0296,0.9926,0.0289,0.9943,pool_dropout
60,0.0268,0.9927,0.0328,0.9926,pool_dropout
61,0.0217,0.9939,0.0312,0.9934,pool_dropout
62,0.0192,0.9947,0.0259,0.9949,pool_dropout
63,0.0222,0.9942,0.0304,0.9931,pool_dropout
64,0.0255,0.9934,0.0396,0.9923,pool_dropout
65,0.0239,0.9941,0.0293,0.9944,pool_dropout
66,0.0178,0.9951,0.0289,0.9945,pool_dropout
67,0.0217,0.9945,0.0285,0.9936,pool_dropout
68,0.0220,0.9945,0.0359,0.9929,pool_dropout
69,0.0270,0.9930,0.0278,0.9944,pool_dropout
70,0.0283,0.9930,0.0253,0.9944,pool_dropout
